year,R1,R2
1850,97.43313,68.39216
1851,100.16668,40.682793
1852,144.38382,113.64902
1853,213.29253,37.31482
1854,127.03075,41.14651
1855,78.89748,30.992048
1856,174.87491,19.581192
1857,101.16201,12.713462
1858,134.65753,53.931313
1859,100.70537,57.73287
1860,57.77247,67.06705
1861,90.82176,50.18149
1862,108.00242,65.88223
1863,196.16234,27.252226
1864,61.866867,17.173412
1865,108.60234,33.396954
1866,246.75156,35.320927
1867,178.87146,50.345943
1868,40.461624,28.70876
1869,83.96737,25.869907
1870,119.97147,29.595303
1871,39.30717,38.098694
1872,78.6583,33.563675
1873,71.60707,32.002525
1874,94.94622,34.274384
1875,78.93048,14.370531
1876,120.38347,33.4606
1877,46.577377,26.648191
1878,112.44029,30.693846
1879,44.97434,31.515938
1880,39.350628,56.6824
1881,59.4021,42.01932
1882,37.61895,74.806496
1883,53.61643,25.61307
1884,72.54379,31.460655
1885,35.58213,31.172485
1886,59.041424,13.47171
1887,107.546646,35.99581
1888,82.36016,61.686153
1889,53.543873,47.506954
1890,81.24738,65.190834
1891,202.66348,30.805843
1892,51.568752,53.621765
1893,67.94426,18.07957
1894,83.79997,50.124123
1895,63.08136,55.84451
1896,84.46925,24.609371
1897,50.81166,35.441525
1898,122.58527,40.73166
1899,55.13642,30.134544
1900,76.338066,30.213776
1901,68.11181,30.82271
1902,105.97149,51.494728
1903,63.762516,93.42197
1904,62.683784,46.74917
1905,45.941025,31.779512
1906,54.345154,36.90005
1907,30.848335,46.524696
1908,41.686092,66.5396
1909,111.42006,40.352036
1910,89.479,35.73549
1911,145.71239,19.761974
1912,61.96515,48.197487
1913,36.4412,53.29961
1914,23.37173,92.32252
1915,59.601124,47.061363
1916,42.503513,52.903183
1917,106.68884,39.073994
1918,52.294704,37.018402
1919,41.891533,92.13848
1920,32.109142,61.045834
1921,92.40044,24.408823
1922,230.84323,19.0745
1923,160.71364,41.17124
1924,77.05745,54.572567
1925,55.937717,50.21499
1926,27.680431,53.812885
1927,164.23416,63.351772
1928,176.67053,14.956644
1929,100.13363,30.241673
1930,62.026558,51.985508
1931,55.111313,71.72154
1932,29.940765,36.454628
1933,102.88132,42.266216
1934,111.64827,17.072262
1935,104.44069,32.94148
1936,55.614853,53.450157
1937,58.29902,32.875687
1938,63.70593,63.771645
1939,8.280693,25.112171
1940,54.379078,32.011326
1941,85.70729,39.39563
1942,81.25809,41.49279
1943,173.54129,18.714218
1944,58.80342,37.357147
1945,96.836296,13.378353
1946,19.521328,35.211273
1947,66.94543,40.395393
1948,15.902832,41.202007
1949,45.743008,33.215717
1950,29.198318,72.994385
1951,47.1651,29.918076
1952,27.327917,33.783962
1953,50.085823,38.741825
1954,58.455242,31.016792
1955,85.388916,84.23424
1956,67.47748,86.419
1957,92.97839,26.818731
1958,43.813896,45.575024
1959,80.87335,29.824799
1960,90.57081,14.683722
1961,67.61568,65.287254
1962,81.95625,31.581924
1963,65.74328,25.665573
1964,35.746834,26.142439
1965,39.41012,38.705387
1966,35.269894,37.23969
1967,108.91129,78.793396
1968,32.13628,31.357723
1969,85.7566,63.502686
1970,119.84985,10.856313
1971,43.693512,42.799843
1972,44.184826,35.699326
1973,43.46494,61.29679
1974,122.09979,22.304058
1975,53.499073,17.71678
1976,79.39245,45.71831
1977,89.014534,42.82182
1978,113.821465,33.31406
1979,45.547012,69.89289
1980,58.95648,29.877016
1981,47.035767,30.046322
1982,109.87372,23.090654
1983,19.96007,46.351486
1984,133.2428,54.358387
1985,56.785683,32.680836
1986,138.96703,28.030115
1987,49.257587,35.070705
1988,129.0187,23.933628
1989,76.20924,62.143837
1990,176.38606,43.875134
1991,132.8637,47.29374
1992,27.144646,23.751234
1993,82.476295,38.442894
1994,78.1736,142.07135
1995,59.168358,63.199795
1996,39.086037,30.393642
1997,44.34298,27.93079
1998,56.73056,50.808254
1999,37.106747,14.763229
2000,167.10289,45.840862
2001,100.216415,25.473354
2002,114.3807,43.878845
2003,109.222725,88.675575
2004,49.063797,27.973427
2005,92.99162,31.49213
2006,94.54593,22.451117
2007,23.161716,84.8546
2008,77.67362,47.36072
2009,55.3109,58.456886
2010,127.318726,90.18211
2011,43.56079,30.336021
2012,55.689392,55.635883
2013,147.43813,64.67405
2014,119.92686,36.058117
2015,49.228596,59.949482
2016,181.73656,49.7759
2017,56.465244,119.90235
2018,86.79514,18.629166
2019,54.4328,61.19819
2020,30.532148,28.04908
2021,51.803677,97.74692
2022,47.867935,52.353912
2023,50.38181,101.263466
2024,82.33208,62.83906
2025,132.89397,42.083782
2026,88.24626,78.72868
2027,87.44029,37.757458
2028,73.71422,65.49801
2029,58.211815,107.79016
2030,82.776764,161.03554
2031,116.22232,30.107265
2032,64.967316,67.93995
2033,83.59662,69.85144
2034,208.97795,51.532364
2035,91.23175,46.611984
2036,26.741028,52.67116
2037,104.655716,42.21258
2038,53.456524,137.71568
2039,45.50136,47.76075
2040,97.72735,102.555466
2041,91.28455,131.22371
2042,75.02834,125.25349
2043,119.43383,156.45338
2044,60.86016,62.075687
2045,83.79376,54.19668
2046,45.331642,79.07321
2047,119.95829,111.28955
2048,18.795294,82.62968
2049,62.376987,108.63522
2050,62.82445,81.93741
2051,24.481714,107.36503
2052,59.00338,106.60197
2053,87.122116,74.259445
2054,59.046062,87.43262
2055,36.690033,70.07171
2056,146.13676,195.24588
2057,199.14523,110.99545
2058,80.840576,141.02263
2059,64.86472,108.54006
2060,27.309422,118.699
2061,127.56017,59.289486
2062,47.177635,100.6926
2063,79.150925,91.90995
2064,57.24693,101.104034
2065,105.94756,129.16563
2066,61.331703,75.993614
2067,46.232006,78.333084
2068,50.700092,86.00258
2069,60.32891,133.38228
2070,50.74039,168.06012
2071,66.16977,177.07771
2072,207.32756,79.658134
2073,105.08378,114.817375
2074,69.282715,72.08243
2075,84.98925,237.70068
2076,110.932304,222.99646
2077,147.81015,230.77753
2078,105.97728,197.1944
2079,63.56417,135.60289
2080,82.45678,210.23018
2081,85.72783,83.09016
2082,64.82983,78.216225
2083,89.17707,154.81879
2084,149.43741,239.53728
2085,171.02922,142.60626
2086,36.02315,96.725945
2087,100.02091,205.84537
2088,65.81317,172.03882
2089,59.498,150.76875
2090,108.745346,250.01987
2091,229.48822,136.81894
2092,72.775696,220.75284
2093,138.03026,255.21695
2094,75.47172,258.78467
2095,132.32423,313.28683
2096,77.472015,231.23703
2097,132.20815,136.97359
2098,76.21126,134.15675
2099,83.37039,320.10336
2100,159.47556,385.557
